,0,1
198,고주파,2.430259252666841
199,분광법,1.2565146131623404
200,약국,8.805409691086915
201,수은,0.6055198839666386
202,통신단,7.5460916623250025
203,중성지,1.2565146131623404
204,가장자리,83.27155712901498
205,종류별,3.604268384715265
206,이전,3.304584788503105
207,외부적,1.2565146131623404
208,정오,2.5134958117733115
209,질환자,7.5460916623250025
210,촉진,0.4092907972641354
211,고차,0.14684222971869562
212,의지,0.052320249090922664
213,학습자,1.2565146131623404
214,몸체,135.5699775158964
215,요양,10.06519586781491
216,간략,2.5134958117733115
217,전식,0.02615041042568953
218,질,6.4860586415222174
219,열,139.34012991549875
220,발포,12.88146054097781
221,원호,26.661388172982914
222,졸,16.69944712101378
223,차지,2.085666921321835
224,포도당,0.052320249090922664
225,생지,2.5134958117733115
226,양이,10.632153869028153
