번호	단어	chi-square
923	액	19.77539992
924	디오	1.186894124
925	식후	2.37443365
926	사회	12.57450667
927	광압	1.186894124
928	저녁	1.381979284
929	전문적	8.321830758
930	터미널	4.357710439
931	위치정보	17.87141943
932	프로세스	4.977122242
933	원위치	2.045948328
934	최하위	1.186894124
935	입상	1.186894124
936	사출	14.28591479
937	삼일	1.186894124
938	복합	39.7078629
939	지주	5.969022753
940	운동전	3.562619104
941	코리올리	1.186894124
942	정상	37.71431636
943	할	1.388743465
944	조각	3.568008385
945	기밀	4.841777033
946	촉각	2.37443365
947	벨트	0.07131422
948	개시	0.072087197
949	심혈관	8.321830758
950	실물	1.186894124
951	전후	5.893868185
952	손등	1.186894124
953	림	0.822314939
954	불규칙	0.219007107
955	현	4.493867914
956	체액	7.917020002
957	상태량	0.014675848
958	사진만	1.186894124
959	고정부	22.98465087
960	슬림	0.066322854
961	체육	3.562619104
962	샤프트	22.4451333
963	분위기	3.568008385
964	전원	2.503493918
965	목걸이	0.530115673
966	아저	1.186894124
967	동의	60.10198256
968	약	6.555123125
969	숙면	5.940929907
970	정확성	10.23486853
971	임산	1.186894124
972	장비	6.762969468
973	접착제	9.47063902
974	종아리	3.562619104
975	부록	1.186894124
976	보드로	1.186894124
977	통신부	61.00641878
978	충	7.653494209
979	스피커	30.71930606
980	내지	0.530115673
981	최근	0.367845834
982	기체	5.83350705
983	호흡량	4.751451014
984	교부	16.11001499
985	밤	0.014675848
986	로렌츠	1.186894124
987	착용	262.4513613
988	위암	1.186894124
989	사랑	1.186894124
990	펀트	0.014675848
991	상여	1.186894124
992	최상층	2.37443365
993	어드레스	4.841777033
994	광파	0.014675848
995	멀티	0.206924638
996	건강미	1.186894124
997	계약	3.562619104
998	협력	0.345184638
999	랜	3.42342402
1000	위기	0.014675848
1001	위	0.307260357
1002	최소값	0.367845834
1003	것	33.90497031
1004	양질	4.751451014
1005	연	12.60966961
1006	매뉴얼	3.562619104
1007	투과	1.283056625
1008	미연	1.235155182
1009	음양오행	1.186894124
1010	캐리	2.009551281
1011	신이	1.186894124
1012	순응	1.186894124
1013	동결	2.045948328
1014	감소	19.46855584
1015	회전부	6.785546222
1016	진입	2.349906925
1017	오랫동안	2.37443365
1018	치매	7.131056312
1019	패혈증	1.186894124
1020	낭비	0.058799314
1021	노년	2.37443365
1022	송수	18.47919637
1023	네트	3.738607691
1024	틈새	7.607227871
1025	공해	0.530115673
1026	초보자	1.186894124
1027	안	10.97638774
1028	폐암	1.186894124
1029	일체형	0.557972244
1030	한의학	2.37443365
1031	프로브	4.62280226
1032	차기	2.37443365
1033	근방	0.073539196
1034	임서	3.562619104
1035	유아	21.56379112
1036	둘	8.834595581
1037	공사장	1.186894124
1038	체온계	23.86111192
1039	피에조	1.186894124
1040	조제실	1.186894124
1041	장식	5.969022753
1042	대량	7.491298982
1043	피컬	5.940929907
1044	배면	6.769594445
1045	권고	7.131056312
1046	정밀성	1.186894124
1047	중계기	0.350692817
1048	혈류	34.68390057
1049	외측	42.48856445
1050	터치스크린	4.751451014
1051	체크리스트	1.186894124
1052	자의	115.4431969
1053	다기	1.186894124
1054	고리	13.57760912
1055	일방	8.736840536
1056	증세	2.37443365
1057	드레싱	0.014675848
1058	조	2.069660667
1059	전기체	4.751451014
1060	사용량	0.832353288
1061	바운드	1.186894124
1062	변동	34.26953913
1063	알레르기	1.061097076
1064	소재	19.10889997
1065	의료비	3.562619104
1066	출원	11.97394449
1067	화장실	0.044075479
1068	탑	1.177161637
1069	인해	0.014675848
1070	강상	1.186894124
1071	리모트	21.46327217
1072	투시	0.693616159
1073	양극	0.558995291
1074	승인	13.75009976
1075	계속적	29.2170702
1076	국소	1.865741328
1077	골	5.635347313
1078	오	5.591519739
1079	석자	1.186894124
1080	중심축	0.000927948
1081	그래픽	4.074289114
1082	화성	0.693616159
1083	에어리어	8.321830758
1084	쇼	0.693616159
1085	외표	1.186894124
1086	치우	1.186894124
1087	제시부	1.186894124
1088	도우미	3.562619104
1089	당화	0.014675848
1090	상식	2.37443365
1091	지기	1.061097076
1092	프리뷰	1.186894124
1093	턴온	0.014675848
1094	브레이	0.693616159
1095	병자	3.562619104
1096	구매	15.48011597
1097	오퍼레이터	1.381979284
1098	미식	1.186894124
1099	계절	1.865741328
1100	감기	0.014675848
1101	병명	7.131056312
1102	차지	0.046855605
1103	승낙	1.186894124
1104	포락선	0.029367666
1105	운동부	7.131056312
1106	동파	0.186027714
1107	사업체	3.562619104
1108	시그널	7.917020002
1109	유형	2.480462324
1110	윤	0.186027714
1111	학	4.62280226
1112	번거로움	1.381979284
1113	산책로	1.186894124
1114	최적	8.769054251
1115	응축	5.159065945
1116	잔류	5.159065945
1117	비색	1.186894124
1118	야	0.186027714
1119	화학	17.76486899
1120	환자식	1.186894124
1121	ㅅ	1.186894124
1122	담체	2.794756236
1123	아진	1.335974771
1124	이산화탄소	0.199511452
1125	시점	16.78465589
1126	장애	24.06464666
1127	개수	4.572654714
1128	지방률	3.562619104
1129	삽입구	2.045948328
1130	청중	1.186894124
1131	열화상	1.381979284
1132	농담	1.186894124
1133	회전력	19.36038461
1134	종류	51.13627206
1135	앞발	1.186894124
1136	중장비	1.186894124
1137	공지	0.186027714
1138	예	7.22008251
1139	리드선	1.186894124
1140	기업식	1.186894124
1141	로컬	20.85574727
1142	조가	0.014675848
1143	연사	1.186894124
1144	작업원	0.014675848
1145	연락처	13.09141954
1146	남자	1.186894124
1147	확산	11.79126248
1148	비정기	1.186894124
1149	면접	0.693616159
1150	재미	1.381979284
1151	양이	1.335974771
1152	숟가락	1.186894124
1153	게으름	1.186894124
1154	가임	1.186894124
1155	폐호흡	1.186894124
1156	조건	2.495088488
1157	동자	3.42342402
1158	심음도	3.562619104
1159	여성	2.37443365
1160	양의	0.749996377
1161	줄	0.132826425
1162	전력	1.787358263
1163	기구	19.62314257
1164	어망	1.186894124
1165	크기별	0.014675848
1166	양쪽	3.38544015
1167	논	0.029367666
1168	열부	2.045948328
1169	가상공간	1.186894124
1170	다리	17.47030563
1171	휴대	190.9526035
1172	정치	11.39288546
1173	핸드백	2.37443365
1174	동인	1.186894124
1175	힙	0.014675848
1176	사용방법	1.186894124
1177	메뉴	20.85574727
1178	손잡이	4.790723046
1179	보편적	2.37443365
1180	재중	1.186894124
1181	안녕	1.186894124
1182	우의	0.693616159
1183	투약	15.48011597
1184	금연	1.186894124
1185	당	2.063782295
1186	횟수	41.17849699
1187	피드백	77.91304368
1188	전통	0.693616159
1189	찜통	1.186894124
1190	진실	1.186894124
1191	시야	0.073539196
1192	허락	1.061097076
1193	원조	4.751451014
