,0,1,2,3,4,5
309,바이러스,-1.6789041008044384e-07,5,5,383792,378909
310,습관,0.0001380956351356985,53,0,383792,378909
311,명,0.00014330679117855504,55,0,383792,378909
312,단계적,2.40410952933174e-06,7,6,383792,378909
313,멘트,-5.379046452936992e-06,3,5,383792,378909
314,투병,2.6055780214282737e-06,1,0,383792,378909
315,속도계,2.6055780214282737e-06,1,0,383792,378909
316,행망,2.6055780214282737e-06,1,0,383792,378909
317,평소,5.2111560428565474e-06,2,0,383792,378909
318,납부,1.8239046149997916e-05,7,0,383792,378909
319,병소,2.3450202192854464e-05,9,0,383792,378909
320,신청,0.00015112352524283986,58,0,383792,378909
321,산,-0.0006131236680494944,25,257,383792,378909
322,분실,-1.0590202495793539e-05,1,5,383792,378909
323,과다,-2.7063122674765403e-06,2,3,383792,378909
324,측정자,0.0005028765581356568,193,0,383792,378909
325,자세,0.0010154367105526727,412,22,383792,378909
326,효과적,2.4376876113478286e-05,60,50,383792,378909
327,머신,3.62430457258832e-05,21,7,383792,378909
328,다이어트,0.0008519232787609972,330,3,383792,378909
329,일으키기,5.2111560428565474e-06,2,0,383792,378909
330,부족,7.25196695337825e-05,41,13,383792,378909
331,티스,3.647809229999583e-05,14,0,383792,378909
332,어하,1.563346812856964e-05,6,0,383792,378909
333,가기,2.6055780214282737e-06,1,0,383792,378909
334,추락,-7.951046392349176e-06,1,4,383792,378909
335,이브,6.998124767638642e-05,38,11,383792,378909
336,좌측,-0.00011111318100079194,8,50,383792,378909
337,포털,2.3450202192854464e-05,9,0,383792,378909
338,다음번,5.2111560428565474e-06,2,0,383792,378909
339,태도,2.3450202192854464e-05,9,0,383792,378909
340,펩티드,1.0422312085713095e-05,4,0,383792,378909
341,배제,-1.0825249069906161e-05,8,12,383792,378909
342,데님,2.6055780214282737e-06,1,0,383792,378909
343,마사지,-3.357808201608885e-08,1,1,383792,378909
344,함양,2.6055780214282737e-06,1,0,383792,378909
345,절제,1.0422312085713095e-05,4,0,383792,378909
346,캔,-7.129079287501388e-05,1,28,383792,378909
347,해로,2.6055780214282737e-06,1,0,383792,378909
348,오연,5.2111560428565474e-06,2,0,383792,378909
349,청진기,3.647809229999583e-05,14,0,383792,378909
350,전도로,5.2111560428565474e-06,2,0,383792,378909
351,코딩,-3.2375012963670225e-05,21,33,383792,378909
352,가동,-0.00014321956930833345,21,75,383792,378909
353,침투,-6.33733245646808e-05,1,25,383792,378909
354,원통,-0.00019022070794009064,6,78,383792,378909
355,아키텍처,-2.7398903494926295e-06,3,4,383792,378909
356,평지,2.6055780214282737e-06,1,0,383792,378909
357,절약,-1.0657358659825717e-05,3,7,383792,378909
358,전문직,7.81673406428482e-06,3,0,383792,378909
359,후속,-8.253249130493979e-06,10,13,383792,378909
360,보고서,1.3027890107141369e-05,5,0,383792,378909
361,경증,2.6055780214282737e-06,1,0,383792,378909
362,음주,1.028799975764874e-05,8,4,383792,378909
363,어수,5.2111560428565474e-06,2,0,383792,378909
364,제어장치,2.3315889864790107e-05,13,4,383792,378909
365,천과,2.6055780214282737e-06,1,0,383792,378909
366,봄,5.2111560428565474e-06,2,0,383792,378909
367,대퇴,3.126693625713928e-05,12,0,383792,378909
368,품질정보,2.6055780214282737e-06,1,0,383792,378909
369,불의,7.81673406428482e-06,3,0,383792,378909
370,겨드랑이,-1.0073424604826698e-07,3,3,383792,378909
371,파마,-3.357808201608885e-08,1,1,383792,378909
372,필터,-0.001224729769077902,162,624,383792,378909
373,부합,1.5499155800505288e-05,10,4,383792,378909
374,물적,5.2111560428565474e-06,2,0,383792,378909
375,균,-6.33733245646808e-05,1,25,383792,378909
376,병기,2.6055780214282737e-06,1,0,383792,378909
377,수반,5.986113832881812e-05,25,2,383792,378909
378,소비량,9.119523074998957e-05,35,0,383792,378909
379,간접적,7.749577900252644e-06,5,2,383792,378909
380,자계,2.6055780214282737e-06,1,0,383792,378909
381,만족,-3.2744371865847194e-05,32,44,383792,378909
382,분,-0.0003045102943565844,30,145,383792,378909
383,전환,-0.00012514841356841598,33,80,383792,378909
384,충동,5.2111560428565474e-06,2,0,383792,378909
385,경관,-5.379046452936992e-06,3,5,383792,378909
386,빈맥,2.6055780214282737e-06,1,0,383792,378909
387,감열,1.3027890107141369e-05,5,0,383792,378909
388,등재,7.03506065785634e-05,27,0,383792,378909
389,각종,8.213610765110948e-05,69,37,383792,378909
390,단기,-2.9064295219904077e-05,1,12,383792,378909
391,요건,2.5384218573960956e-06,3,2,383792,378909
392,제공자,0.00012506774502855713,48,0,383792,378909
393,콜레스테롤,7.783155982268732e-06,4,1,383792,378909
394,수면,0.002422952513354182,937,7,383792,378909
395,디지털신호,1.563346812856964e-05,6,0,383792,378909
396,저체온,2.6055780214282737e-06,1,0,383792,378909
397,성동,7.81673406428482e-06,3,0,383792,378909
398,자력,-3.444334167284107e-05,4,17,383792,378909
399,딜레이,1.2927155861093102e-05,8,3,383792,378909
400,인스트,-3.357808201608885e-08,1,1,383792,378909
401,하중,8.237115422522207e-05,62,30,383792,378909
402,각막,2.6055780214282737e-06,1,0,383792,378909
403,책상,1.563346812856964e-05,6,0,383792,378909
404,냉각,-0.000670681431095029,10,264,383792,378909
405,삭제,5.986113832881812e-05,25,2,383792,378909
406,결과적,7.648843654204377e-06,8,5,383792,378909
407,선수,5.7087669897309395e-05,29,7,383792,378909
408,캡처,2.6055780214282738e-05,10,0,383792,378909
409,성도,1.5566311964537465e-05,8,2,383792,378909
410,프로젝터,2.074388992537792e-05,11,3,383792,378909
411,커넥션,-5.345468370920903e-06,2,4,383792,378909
412,교체,-0.00011903064931112503,8,53,383792,378909
413,인명,7.81673406428482e-06,3,0,383792,378909
414,창,9.472748269204168e-05,87,50,383792,378909
415,저널,-2.7398903494926295e-06,3,4,383792,378909
416,인격,2.6055780214282737e-06,1,0,383792,378909
417,마찰,-0.00018477450532312147,1,71,383792,378909
418,피스,0.00014273596378428156,72,17,383792,378909
419,산치,7.81673406428482e-06,3,0,383792,378909
420,인,-0.0003138179764054038,150,267,383792,378909
421,급성,2.3450202192854464e-05,9,0,383792,378909
422,전립선,1.0422312085713095e-05,4,0,383792,378909
423,품,1.2927155861093102e-05,8,3,383792,378909
424,호발,2.6055780214282737e-06,1,0,383792,378909
425,일실,1.5599890046553553e-05,7,1,383792,378909
426,복막,3.387251427856756e-05,13,0,383792,378909
427,방사,-9.98649292405033e-05,66,103,383792,378909
428,검파,5.2111560428565474e-06,2,0,383792,378909
429,이미지,-0.0003248582063432331,243,363,383792,378909
430,정제,-0.00014258158575002777,2,56,383792,378909
431,모집,5.2111560428565474e-06,2,0,383792,378909
432,전화,0.0001797848834785509,69,0,383792,378909
433,일령,2.6055780214282737e-06,1,0,383792,378909
434,압제,2.084462417142619e-05,8,0,383792,378909
435,집계,1.563346812856964e-05,6,0,383792,378909
436,제시,0.0003564605177054322,152,15,383792,378909
437,탑재해,5.2111560428565474e-06,2,0,383792,378909
438,색채,2.5384218573960956e-06,3,2,383792,378909
439,산성,-4.226007573712589e-05,1,17,383792,378909
440,척도,3.9083670321424105e-05,15,0,383792,378909
441,실감,7.81673406428482e-06,3,0,383792,378909
442,장갑,5.2077982346549384e-05,21,1,383792,378909
443,배터리팩,5.2111560428565474e-06,2,0,383792,378909
444,취업,1.8239046149997916e-05,7,0,383792,378909
445,경계치,5.2111560428565474e-06,2,0,383792,378909
446,이주,2.6055780214282737e-06,1,0,383792,378909
447,보충,1.8205468067981827e-05,8,1,383792,378909
